,index,date,time,open,high,low,close,id
5729,BANKNIFTY,20121224,11:00,12310.1,12311.65,12307.2,12310.8,2012DECBNF.txt
5789,BANKNIFTY,20121224,12:00,12309.45,12309.8,12300.9,12306.4,2012DECBNF.txt
5849,BANKNIFTY,20121224,13:00,12284.35,12287.4,12284.15,12284.15,2012DECBNF.txt
5909,BANKNIFTY,20121224,14:00,12296.55,12297.55,12292.8,12294.8,2012DECBNF.txt
5969,BANKNIFTY,20121224,15:00,12295.05,12295.05,12293.65,12294.75,2012DECBNF.txt
5999,BANKNIFTY,20121224,15:30,12325.1,12331.5,12325.1,12330.8,2012DECBNF.txt
6000,BANKNIFTY,20121226,09:16,12364.0,12364.0,12334.75,12334.75,2012DECBNF.txt
6044,BANKNIFTY,20121226,10:00,12330.8,12334.75,12330.8,12334.75,2012DECBNF.txt
6104,BANKNIFTY,20121226,11:00,12324.45,12326.25,12322.95,12325.55,2012DECBNF.txt
6164,BANKNIFTY,20121226,12:00,12439.65,12439.65,12436.4,12437.2,2012DECBNF.txt
6224,BANKNIFTY,20121226,13:00,12471.35,12474.25,12471.1,12471.45,2012DECBNF.txt
6284,BANKNIFTY,20121226,14:00,12480.7,12481.0,12478.45,12480.45,2012DECBNF.txt
6344,BANKNIFTY,20121226,15:00,12487.7,12487.7,12480.1,12482.35,2012DECBNF.txt
6374,BANKNIFTY,20121226,15:30,12481.15,12481.9,12478.2,12480.25,2012DECBNF.txt
6375,BANKNIFTY,20121227,09:16,12522.8,12523.5,12514.65,12515.05,2012DECBNF.txt
6419,BANKNIFTY,20121227,10:00,12520.55,12521.65,12514.0,12514.0,2012DECBNF.txt
6479,BANKNIFTY,20121227,11:00,12495.25,12497.6,12495.15,12496.05,2012DECBNF.txt
6539,BANKNIFTY,20121227,12:00,12489.15,12491.65,12487.2,12487.2,2012DECBNF.txt
6599,BANKNIFTY,20121227,13:00,12458.5,12462.0,12458.5,12461.45,2012DECBNF.txt
6659,BANKNIFTY,20121227,14:00,12481.85,12482.5,12480.1,12481.5,2012DECBNF.txt
6719,BANKNIFTY,20121227,15:00,12483.25,12483.25,12468.25,12468.25,2012DECBNF.txt
6749,BANKNIFTY,20121227,15:30,12486.4,12486.5,12481.45,12486.5,2012DECBNF.txt
6750,BANKNIFTY,20121228,09:16,12465.6,12493.1,12465.6,12491.95,2012DECBNF.txt
6794,BANKNIFTY,20121228,10:00,12446.0,12447.1,12445.6,12447.1,2012DECBNF.txt
6854,BANKNIFTY,20121228,11:00,12454.85,12456.9,12454.65,12455.25,2012DECBNF.txt
6914,BANKNIFTY,20121228,12:00,12442.65,12442.65,12440.4,12441.3,2012DECBNF.txt
6974,BANKNIFTY,20121228,13:00,12426.75,12426.95,12425.0,12426.15,2012DECBNF.txt
7034,BANKNIFTY,20121228,14:00,12412.75,12416.0,12412.7,12412.7,2012DECBNF.txt
7094,BANKNIFTY,20121228,15:00,12412.1,12412.25,12408.3,12411.3,2012DECBNF.txt
7124,BANKNIFTY,20121228,15:30,12465.55,12465.55,12454.5,12457.15,2012DECBNF.txt
7125,BANKNIFTY,20121231,09:16,12450.65,12450.65,12441.55,12448.75,2012DECBNF.txt
7169,BANKNIFTY,20121231,10:00,12440.3,12440.3,12436.1,12436.3,2012DECBNF.txt
7229,BANKNIFTY,20121231,11:00,12498.65,12498.9,12495.65,12495.85,2012DECBNF.txt
7289,BANKNIFTY,20121231,12:00,12472.0,12476.3,12472.0,12476.0,2012DECBNF.txt
7349,BANKNIFTY,20121231,13:00,12469.85,12469.85,12469.25,12469.3,2012DECBNF.txt
7409,BANKNIFTY,20121231,14:00,12462.5,12463.3,12462.15,12462.85,2012DECBNF.txt
7469,BANKNIFTY,20121231,15:00,12461.25,12463.4,12461.25,12463.25,2012DECBNF.txt
7499,BANKNIFTY,20121231,15:30,12470.5,12474.25,12465.4,12474.25,2012DECBNF.txt
7500,BANKNIFTY,20121101,09:16,11276.55,11276.55,11265.8,11268.9,2012NOVBNF.txt
7544,BANKNIFTY,20121101,10:00,11303.3,11304.95,11301.35,11304.95,2012NOVBNF.txt
7604,BANKNIFTY,20121101,11:00,11266.5,11270.35,11266.5,11270.0,2012NOVBNF.txt
7664,BANKNIFTY,20121101,12:00,11324.4,11327.3,11324.4,11327.3,2012NOVBNF.txt
7724,BANKNIFTY,20121101,13:00,11332.8,11334.05,11331.75,11332.7,2012NOVBNF.txt
7784,BANKNIFTY,20121101,14:00,11324.7,11331.6,11323.35,11331.6,2012NOVBNF.txt
7844,BANKNIFTY,20121101,15:00,11324.15,11324.15,11320.85,11321.65,2012NOVBNF.txt
7874,BANKNIFTY,20121101,15:30,11300.2,11306.25,11299.2,11306.25,2012NOVBNF.txt
7875,BANKNIFTY,20121102,09:16,11442.85,11446.05,11434.2,11434.2,2012NOVBNF.txt
7919,BANKNIFTY,20121102,10:00,11438.2,11440.05,11437.35,11437.35,2012NOVBNF.txt
7979,BANKNIFTY,20121102,11:00,11421.95,11422.3,11420.0,11420.4,2012NOVBNF.txt
8039,BANKNIFTY,20121102,12:00,11429.05,11430.9,11429.05,11430.85,2012NOVBNF.txt
8099,BANKNIFTY,20121102,13:00,11449.6,11450.05,11447.35,11447.35,2012NOVBNF.txt
8159,BANKNIFTY,20121102,14:00,11444.15,11449.7,11444.15,11449.15,2012NOVBNF.txt
8219,BANKNIFTY,20121102,15:00,11434.65,11437.4,11434.65,11437.4,2012NOVBNF.txt
8249,BANKNIFTY,20121102,15:30,11466.7,11473.65,11465.05,11465.05,2012NOVBNF.txt
8250,BANKNIFTY,20121105,09:16,11442.2,11464.2,11442.2,11452.8,2012NOVBNF.txt
8294,BANKNIFTY,20121105,10:00,11469.75,11470.1,11463.9,11466.0,2012NOVBNF.txt
8354,BANKNIFTY,20121105,11:00,11471.8,11474.7,11471.8,11474.35,2012NOVBNF.txt
8414,BANKNIFTY,20121105,12:00,11465.8,11465.8,11462.15,11462.2,2012NOVBNF.txt
8474,BANKNIFTY,20121105,13:00,11430.55,11431.8,11426.5,11428.05,2012NOVBNF.txt
8534,BANKNIFTY,20121105,14:00,11411.3,11414.25,11410.4,11414.25,2012NOVBNF.txt
8594,BANKNIFTY,20121105,15:00,11451.4,11457.8,11451.1,11456.9,2012NOVBNF.txt
8624,BANKNIFTY,20121105,15:30,11475.75,11480.7,11474.6,11475.2,2012NOVBNF.txt
8625,BANKNIFTY,20121106,09:16,11439.45,11451.05,11439.45,11450.15,2012NOVBNF.txt
8669,BANKNIFTY,20121106,10:00,11467.45,11471.45,11465.75,11471.45,2012NOVBNF.txt
8729,BANKNIFTY,20121106,11:00,11511.5,11513.45,11511.1,11512.5,2012NOVBNF.txt
8789,BANKNIFTY,20121106,12:00,11499.6,11499.6,11494.95,11496.85,2012NOVBNF.txt
